,business,category
1,Internet_Search,1
2,Computing_platform,2
3,SNS,3
4,Cloud software,1
5,Video editing,1
6,Cloud-based video management,2
7,Big Data Analytics,2
8,Mobile communications,2
9,Emotion recognition,2
10,Streaming video,2
11,Education technology,2
12,Anonymous social media app,3
13,Digital marketing and creative agency,2
14,Augmented reality,2
15,Platform security,2
16,Platform for musicians,1
17,"Provider of cloud-based healthcare data, analytics and insights",2
18,Cinemagraphic photo app,2
19,Mobile application development,2
20,"Cyber security, incident response platform",2
21,Salesforce systems integrator and professional services,2
22,Employee and Manager Feedback Tool,3
23,Internet service provider,1
24,Cloud-based video services,1
25,Link management,1
26,Mobile tool maker,1
27,Machine learning,2
28,Video game streaming,2
29,Cloud software,1
30,AI-powered scheduling assistant service,2
31,Personal health info collection company,2
32,API management and predictive analytics,1
33,Location-based analytics,1
34,Natural language processing,1
35,Modular Electronics,3
36,Risk management and regulatory compliance,2
37,Government Issued ID Verification Platform,3
38,Android Emulator,1
39,Publisher analytics,3
40,"Computer Vision, Machine Learning",3
41,Social Apps Developer,3
42,Professional Networking Service,2
43,Smartwatches,1
44,Gaming backend service,2
45,Crash analytics,1
46,Information security,2
47,Data science,1
48,Productivity suite,1
49,Automation and scripting app,2
50,Container Management,2
51,Collaborative Productivity Platform,2
52,Digital magazine subscription service,2
53,Virtual reality studio,1
54,Artificial intelligence,2
55,Artificial Intelligence,3
56,Cloud HPC,2
57,GIF image search,1
58,Single sign-on and identity management,1
59,Speech recognition,3
60,Video Compression,3
61,Statistical computing and predictive analytics,2
62,Sunrise Calendar applications,2
63,Child-friendly apps,1
64,Multimedia sharing and storage,1
65,Mobile payments,1
66,App advertising and discovery,1
67,"Natural language processing, big data",2
68,Ecommerce,3
69,Database,2
70,PowerPoint collaboration,2
71,"Web Search Engine, Cognitive Computing",2
72,GPS,2
73,Health management software,2
74,Healthcare analytics,2
75,Virtual reality software,1
76,Messaging assistant,2
77,Mobile software,1
78,Mobile app optimizer,1
79,Private Cloud as a Service,2
80,Application management,2
81,Machine Learning,3
82,Virtual reality,2
83,Mobile application streaming,1
84,Enterprise Field Service,2
85,Mobile software prototyping,1
86,Database as a Service,2
87,Clothing E-commerce website,1
88,Sales-gamification,2
89,Healthcare imaging software,2
90,"Machine learning, Image recognition",2
91,Mapping visualization and data collection,2
92,Organisational analytics,2
93,Mobile API capabilities,2
94,Mobile lock screen software,2
95,E-book subscriptions,1
96,Consulting services for Workday applications,2
97,Rich Communication Services,1
98,AMP converter,1
99,Rural communications,3
100,Push Notification Services,3
101,"Weather data sources and analytics, related online and mobile products",2
102,Cloud brokerage software and cloud management,2
103,"MileIQ, a mileage tracking application",2
104,Object-based storage software,2
105,Podcasts,1
106,Conversational AI,2
107,Version Control Hosting,2
