1,Identity management,Computing_platform
2,Wireless data sharing,Internet_Search
3,Software,Computing_platform
4,Online game,Internet_Search
5,Application Services,Computing_platform
6,Web analytics,Internet_Search
7,Gesture recognition company,Computing_platform
8,Community software,Computing_platform
9,Enterprise Information Integration,Computing_platform
10,Application Server,Computing_platform
11,Messaging,Computing_platform
12,Social networking service,Internet_Search
13,Weblog software,Internet_Search
14,Voice over Internet Protocol,Internet_Search
15,Software,Computing_platform
16,Application Management,Computing_platform
17,Widget engine,Internet_Search
18,Asset Management,Computing_platform
19,Enterprise Information Integration,Computing_platform
20,Mobile operating system,Internet_Search
21,AboutFace,SNS
22,VoIP,Computing_platform
23,Email protection,Computing_platform
24,Certificate management software,Computing_platform
25,Calendaring software,Internet_Search
26,Service Oriented Architecture (SOA),Computing_platform
27,Graphics library,Internet_Search
28,Information management software,Computing_platform
29,Network management,Computing_platform
30,Social bookmarking,Internet_Search
31,Portal-based tools,Computing_platform
32,Widget engine,Internet_Search
33,Online music store,Internet_Search
34,Advertising,Internet_Search
35,Web search engine,Internet_Search
36,Software,Computing_platform
37,IT Financial Management,Computing_platform
38,Semiconductor Manufacturing software,Computing_platform
39,Supply chain optimization,Computing_platform
40,Software,Computing_platform
41,Weblog software,Internet_Search
42,Network management,Computing_platform
43,Internet software,Computing_platform
44,Software,Computing_platform
45,Word processor,Internet_Search
46,3D modeling software,Internet_Search
47,Identity management,Computing_platform
48,Digital video recorder,Internet_Search
49,Software Development,Computing_platform
50,Mapping software,Computing_platform
51,Video game advertising,Computing_platform
52,Metadata management,Computing_platform
53,Web log analysis,Computing_platform
54,Online spreadsheets,Internet_Search
55,Analysis software,Computing_platform
56,application virtualization software,Computing_platform
57,Software,Computing_platform
58,Service Oriented Architecture software,Computing_platform
59,Online video editing,Internet_Search
60,Applications,Computing_platform
61,Asset Management,Computing_platform
62,Video sharing,Internet_Search
63,Natural language software,Computing_platform
64,Content management software,Computing_platform
65,Software,Computing_platform
66,Online advertising,Internet_Search
67,Management consulting,Computing_platform
68,Information security,Computing_platform
69,Web application,Internet_Search
70,Social media,Internet_Search
71,Social network service,Internet_Search
72,Telecommunications Management,Computing_platform
73,In-game advertising,Internet_Search
74,Data Mobility,Computing_platform
75,Internet search engine,Computing_platform
76,Enterprise Data Consulting,Computing_platform
77,Software tools,Computing_platform
78,Online advertising,Internet_Search
79,Presentation program,Internet_Search
80,Online advertising,Internet_Search
81,Mobile phone software,Computing_platform
82,Business Intelligence software,Computing_platform
83,Computer security,Internet_Search
84,Social networking service,Internet_Search
85,Web feed,Internet_Search
86,Information technology,Computing_platform
87,Parallel processing,Internet_Search
88,Master Data Management,Computing_platform
89,Presentation program,Internet_Search
90,College sports,Internet_Search
91,Networking,Computing_platform
92,Voice over IP,Internet_Search
93,Communications security,Internet_Search
94,Offline applications/Web desktop,SNS
95,Aerial photography,Internet_Search
96,Security Software Testing,Computing_platform
97,Digital marketing,Computing_platform
98,Ad Exchange,Computing_platform
99,Web conferencing and communications,Computing_platform
100,Advertising network,Internet_Search
101,Business Intelligence,Computing_platform
102,News site,Internet_Search
103,Collaborative software,Internet_Search
104,Social networking service,Internet_Search
105,Search engine,Computing_platform
106,Enterprise messaging software,Computing_platform
107,Storage Consulting and Technology Services,Computing_platform
108,Business Intelligence,Computing_platform
109,Software,Computing_platform
110,Database Software,Computing_platform
111,Data backup services,Computing_platform
112,Browser extension,Internet_Search
113,Software,Computing_platform
114,Video on demand,Internet_Search
115,Enterprise Single Sign-On,Computing_platform
116,Advertising yield management software,Computing_platform
117,Rootkit security software,Computing_platform
118,Online search software,Computing_platform
119,Mobile Internet software,Computing_platform
120,Data De-duplication,Computing_platform
121,Application Recovery Software,Computing_platform
122,Semiconductors,Computing_platform
123,Data Feed Connectors,Computing_platform
124,Browser extension,Internet_Search
125,Software,Computing_platform
126,Management software,Computing_platform
127,Social networking,SNS
128,"Mainframe, System Z technologies",Computing_platform
129,Online video,Internet_Search
130,Semantic Search,Computing_platform
131,Data software,Computing_platform
132,Search and e-commerce services,Computing_platform
133,Virtualization Software,Computing_platform
134,Data Discovery Software,Computing_platform
135,Bioinformatics solutions for life science research,Computing_platform
136,Maps,Computing_platform
137,Webmail applications,Internet_Search
138,Source code analysis,Computing_platform
139,Statistical analysis software,Computing_platform
140,Video compression,Internet_Search
141,Social networking aggregator,SNS
142,Security,Internet_Search
143,Software,Computing_platform
144,Voice over IP,Internet_Search
145,Mobile advertising,Internet_Search
146,Online advertising,Internet_Search
147,Database monitoring and protection,Computing_platform
148,Collaborative real-time editor,Internet_Search
149,Music streaming,Computing_platform
150,Identity and Access Management Software for Healthcare,Computing_platform
151,Business Process Management,Computing_platform
